구분,대여소번호,대여소명,대여소 주소,거치대수,위도,경도
관악구,2153, 서울남부초등학교 옆,서울특별시 관악구 남부순환로163가길 20,10,37.485142,126.920563
관악구,2156, 농협 관악문성지점,서울특별시 금천구 남부순환로 1428,12,37.480721,126.909325
관악구,2157, 난곡 사거리,서울특별시 관악구 난곡로 317,10,37.4818,126.915237
관악구,2159, 인헌초교,서울특별시 관악구 봉천동 244-1 ,10,37.47509,126.959229
관악구,2164, 관악우체국,서울특별시 관악구 남부순환로 1641,8,37.484768,126.932877
관악구,2165, JK장평타워,서울특별시 관악구 남부순환로 1943,10,37.476482,126.965363
관악구,2170, 조원동서울본병원,서울특별시 관악구 남부순환로 1451,10,37.481529,126.912033
관악구,2171, 서울대입구역 5번출구,서울특별시 관악구 남부순환로 1817,17,37.481548,126.952003
관악구,2172, 나들목공원,서울특별시 관악구 신림로 41,20,37.469406,126.944511
관악구,2173, 당곡사거리,서울특별시 관악구 보라매로 3,10,37.48975,126.927467
관악구,2174, 삼성디지털프라자관악점,서울특별시 관악구 신림로 386,10,37.488564,126.928482
관악구,2175, 신림동걷고싶은문화의거리입구,서울특별시 관악구 신림로 369,10,37.487301,126.928703
관악구,2176, 보라매공원 보도육교,서울특별시 관악구 신사로 132,15,37.488907,126.916679
광진구,3501, 광진구청 앞,서울특별시 광진구 자양로 131,10,37.539501,127.083
광진구,3502, 중곡역 1번출구,서울특별시 광진구 능동로 지하 417,15,37.565659,127.084297
광진구,3503, 광진유진스웰,서울특별시 광진구 아차산로78길 7,20,37.550488,127.108955
광진구,3504, 원일교회,서울특별시 광진구 아차산로 304,9,37.538052,127.076599
광진구,3505, 신양초교앞 교차로,서울특별시 광진구 능동로 42,12,37.535221,127.068398
광진구,3506, 영동대교 북단,서울특별시 광진구 자양동 203-22,10,37.537014,127.061096
광진구,3507, 어린이회관,서울특별시 광진구 능동 465-7,25,37.545952,127.078003
광진구,3508, 화양사거리,서울특별시 광진구 화양동 21-6,10,37.548222,127.067879
광진구,3509, 세종사이버대학교,서울특별시 광진구 군자동 111-2,20,37.55315,127.072853
광진구,3517, 용마사거리,서울특별시 광진구 능동로 373,10,37.562656,127.082756
광진구,3520, 광진경찰서,서울특별시 광진구 자양로 167,10,37.542519,127.084084
광진구,3521, 현대홈타운 뒷길,서울특별시 광진구 아차산로69길 29,10,37.543427,127.096619
광진구,500,어린이대공원역 3번출구 앞,서울특별시 광진구 능동로 지하210,10,37.54707,127.074272
광진구,501,광진구의회 앞,서울특별시 광진구 능동로 76,15,37.537308,127.070351
광진구,502,뚝섬유원지역 1번출구 앞,서울특별시 광진구 능동로 10,15,37.53186,127.067192
광진구,503,더샵스타시티 C동 앞,서울특별시 광진구 아차산로 262,15,37.536667,127.073593
광진구,504,신자초교입구교차로,서울특별시 광진구 뚝섬로 596,5,37.53297,127.075935
광진구,505,자양사거리 광진아크로텔 앞,서울특별시 광진구 아차산로 355,10,37.53701,127.082245
광진구,515,광양중학교 앞,서울특별시 광진구 자양로3길 7,10,37.530235,127.08683
광진구,516,광진메디칼 앞,서울특별시 광진구 광나루로 355,10,37.548405,127.069366
광진구,539,군자교교차로,서울특별시 광진구 중곡동 263-1,10,37.559795,127.074203
광진구,540,군자역 7번출구 베스트샵 앞,서울특별시 광진구 군자동 499,8,37.55603,127.078644
광진구,542,강변역 4번출구 뒤,서울특별시 광진구 구의동 546-6,19,37.535465,127.094482
광진구,543,구의공원(테크노마트 앞),서울특별시 광진구 구의동 546-3,20,37.535969,127.094673
광진구,544,광남중학교,서울특별시 광진구 광장동 561-15,20,37.54073,127.102905
광진구,546,잠실대교북단 교차로,서울특별시 광진구 자양동 722,8,37.532478,127.085091
광진구,548,자양나들목,서울특별시 광진구 자양동 738,20,37.52977,127.07486
광진구,549,아차산역 3번출구,서울특별시 광진구 구의동 96,10,37.551224,127.089706
광진구,551,구의삼성쉐르빌 앞,서울특별시 광진구 구의강변로 106,10,37.540062,127.094498
광진구,552,대림아크로리버 앞,서울특별시 광진구 구의강변로 64,10,37.536579,127.092972
광진구,553,중곡 성원APT 앞,서울특별시 광진구 동일로 459,10,37.571255,127.079803
광진구,555,구의3동주민센터,서울특별시 광진구 강변역로 17,10,37.537849,127.092171
광진구,571,어린이대공원역6번출구,서울특별시 광진구 군자로 74,20,37.548496,127.07476
광진구,572,국립정신 건강센터 앞,서울특별시 광진구 능동로 398,20,37.565536,127.0867
광진구,573,구의문주차장 앞,서울특별시 광진구 능동로 216,10,37.545231,127.084732
광진구,574,아차산역4번출구,서울특별시 광진구 능동로 216,20,37.551849,127.088982
광진구,575,중앙농협 중곡지점,서울특별시 광진구 용마산로 120,10,37.564293,127.086937
광진구,576,광나루역 3번 출구,서울특별시 광진구 아차산로 552,10,37.54483,127.104263
광진구,577,광진청소년수련관,서울특별시 광진구 구천면로 2,10,37.546547,127.106133
광진구,584,광진광장 교통섬,서울특별시 광진구 군자동 374-8,20,37.547829,127.072632
광진구,588,뚝섬 유원지역,서울특별시 광진구 능동로 10,15,37.532688,127.067497
광진구,590,건국대학교 (입학정보관),서울특별시 광진구 능동로 120,10,37.540089,127.073746
광진구,591,건국대학교 (행정관),서울특별시 광진구 능동로 120,5,37.542778,127.075371
광진구,592,건국대학교 학생회관,서울특별시 광진구 능동로 120,15,37.541763,127.07843
광진구,593,양중앙나들목,서울특별시 광진구 자양강변길 301,5,37.528587,127.077873
구로구,1901, 신도림동주민센터 앞,서울특별시 구로구 신도림로 40,10,37.507332,126.87973
